drNo,drName,drAuto,drAdd
1221,복권나라,자동,서울 성동구 용답중앙15길 12-1 1층
1221,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr)
1221,세명복권,자동,서울 마포구 월드컵북로7길 26 1호
1221,하나로슈퍼,자동,서울 동대문구 고산자로 484
1221,행운당,자동,서울 노원구 노해로 506 바상가동 106호
1221,복권방,자동,부산 사하구 장림번영로 25
1221,천하명당복권,자동,대구 북구 칠곡중앙대로 545
1221,명동럭키로또,자동,인천 연수구 경원대로483번길 6 103호
1221,광주도서유통,자동,광주 남구 봉선1로 79
1221,까치로또판매점,자동,대전 서구 계백로 1437
1221,민복권,자동,경기 동두천시 지행로 96-14 1층(지행동)
1221,행운복권방,자동,경기 김포시 김포대로 1764 누산마트내
1221,흥건슈퍼,반자동,전북 전주시 완산구 거마평로 25 흥건슈퍼
1221,완산로또방,자동,경북 영천시 대경로 1260
1221,하프타임 함안산인점,수동,경남 함안군 외동길 3 1층 편의점내
1221,스마일,자동,경남 양산시 북안남4길 2 복권판매점
